# xi_im, xi_npair, xi_weight, Rg, sum_w_l, sum_w_r,
2.786310594435114582e-07 2.049241233000000000e+09 2.049241233000000000e+09 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
-1.969126344815869219e-08 3.232824754000000000e+09 3.232824754000000000e+09 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
3.700564717975311007e-07 5.102127454000000000e+09 5.102127454000000000e+09 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
-1.603220726166635381e-07 8.053566410000000000e+09 8.053566410000000000e+09 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
-2.439510531066757253e-08 1.271370745500000000e+10 1.271370745500000000e+10 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
-4.757696944614172074e-07 2.007902010000000000e+10 2.007902010000000000e+10 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
-1.972847090059054733e-07 3.172236372900000000e+10 3.172236372900000000e+10 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
-2.351917913928086065e-07 5.011212692800000000e+10 5.011212692800000000e+10 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
6.005395998351361883e-08 7.916402409900000000e+10 7.916402409900000000e+10 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
2.740237310386944200e-07 1.250709811360000000e+11 1.250709811360000000e+11 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
1.715673686013381255e-07 1.975411758000000000e+11 1.975411758000000000e+11 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
2.992076090711059801e-07 3.117799780720000000e+11 3.117799780720000000e+11 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
3.287209480724736138e-07 4.914502791160000000e+11 4.914502791160000000e+11 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
2.549516198742320618e-07 7.732845566650000000e+11 7.732845566650000000e+11 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
3.196466744589817287e-07 1.214072624140000000e+12 1.214072624140000000e+12 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
3.238353760329731150e-07 1.900828094740000000e+12 1.900828094740000000e+12 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
4.586506735140879600e-07 2.966895854530000000e+12 2.966895854530000000e+12 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
6.155276297881997679e-07 4.612601320277000000e+12 4.612601320277000000e+12 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
9.538342696369069292e-07 7.136586831572000000e+12 7.136586831572000000e+12 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
9.706885914396038423e-07 1.099426495674000000e+13 1.099426495674000000e+13 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
1.044532444827381434e-06 1.687443414065400000e+13 1.687443414065400000e+13 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
9.202287756980944643e-07 2.576753780019600000e+13 2.576753780019600000e+13 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
8.279105488271743484e-07 3.905499961995600000e+13 3.905499961995600000e+13 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
6.396719356571767999e-07 5.854506810842500000e+13 5.854506810842500000e+13 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
-4.596912472276856783e-08 8.637347166960500000e+13 8.637347166960500000e+13 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
-1.244743531282138586e-06 1.252369602441370000e+14 1.252369602441370000e+14 1.000000000000000000e+00 1.409279875000000000e+06 7.046400000000000000e+07
