# xi_im, xi_npair, xi_weight, Rg
-8.351267911811203608e-07 5.341796800000000000e+07 5.363658363856869936e+07 1.000000000000000000e+00
2.688549343938460118e-06 8.435306100000000000e+07 8.469871900653260946e+07 1.000000000000000000e+00
1.415292585233996792e-06 1.332561420000000000e+08 1.338046742733873129e+08 1.000000000000000000e+00
-2.648954838120081571e-06 2.103809290000000000e+08 2.112526298380377293e+08 1.000000000000000000e+00
-1.875189682034957377e-06 3.322437220000000000e+08 3.336260360048303604e+08 1.000000000000000000e+00
5.278047620871654117e-08 5.248833970000000000e+08 5.270763936130933762e+08 1.000000000000000000e+00
-1.064784782745628299e-06 8.294206930000000000e+08 8.328817627714891434e+08 1.000000000000000000e+00
-1.041611393102204734e-06 1.310535812000000000e+09 1.315996782453542233e+09 1.000000000000000000e+00
-4.344988489390340493e-07 2.071075774000000000e+09 2.079721737067709684e+09 1.000000000000000000e+00
-2.190740389161517877e-07 3.272613701000000000e+09 3.286291422253162384e+09 1.000000000000000000e+00
8.464030362061735406e-09 5.169774691000000000e+09 5.191439148147235870e+09 1.000000000000000000e+00
1.268122719321806047e-07 8.159707061000000000e+09 8.193796354815509796e+09 1.000000000000000000e+00
1.526141952548802989e-07 1.286202853700000000e+10 1.291552933956867790e+10 1.000000000000000000e+00
9.593485506611133036e-09 2.024265533600000000e+10 2.032627966503444290e+10 1.000000000000000000e+00
2.903362413609054003e-07 3.178212832700000000e+10 3.191186358939311600e+10 1.000000000000000000e+00
2.875041979831993480e-07 4.974488699100000000e+10 4.994475192809559631e+10 1.000000000000000000e+00
4.301452180783552474e-07 7.763679835100000000e+10 7.793887574843032837e+10 1.000000000000000000e+00
7.308062866557289593e-07 1.206929036350000000e+11 1.211456370071627655e+11 1.000000000000000000e+00
1.216813257299849092e-06 1.867805008830000000e+11 1.874494219751214294e+11 1.000000000000000000e+00
1.104150822360173723e-06 2.878806978980000000e+11 2.888375100310020142e+11 1.000000000000000000e+00
1.152353934314491841e-06 4.421625028660000000e+11 4.434999743004441528e+11 1.000000000000000000e+00
1.042671818853939478e-06 6.755935650140000000e+11 6.774031107318924561e+11 1.000000000000000000e+00
8.446618306299904578e-07 1.023747744119000000e+12 1.025961944520636108e+12 1.000000000000000000e+00
6.230864122548142556e-07 1.533572439092000000e+12 1.535886627572956055e+12 1.000000000000000000e+00
1.363928532192371856e-07 2.262311327535000000e+12 2.263688081246675781e+12 1.000000000000000000e+00
-1.198960928143026822e-06 3.285122172202000000e+12 3.283626857102179688e+12 1.000000000000000000e+00
