# theta, gamma_t
2.805046135754908576e+00 6.944574475037948155e-06
3.531343861556885511e+00 2.266114073772332594e-06
4.445698525097306231e+00 4.662622828698700808e-08
5.596802846420849242e+00 3.145585048705681335e-06
7.045957328161134292e+00 -3.897605648187369631e-07
8.870334730839386950e+00 -1.295730504252809528e-06
1.116708980377407912e+01 -5.696911938037887929e-07
1.405853312975872704e+01 1.972137475962528989e-07
1.769864460960344488e+01 7.614571489499189371e-08
2.228127345334363341e+01 -7.278216854830843166e-07
2.805046135754907866e+01 -8.632743726565511765e-07
3.531343861556884889e+01 -3.932734836717061358e-07
4.445698525097307652e+01 2.369681383683143363e-07
5.596802846420851552e+01 -2.506599605140135892e-07
7.045957328161131272e+01 -5.214503058423296334e-07
8.870334730839388726e+01 -9.258747557143040577e-08
1.116708980377407130e+02 -6.580740408822593071e-08
1.405853312975872882e+02 -4.316317565951992772e-07
1.769864460960343422e+02 -1.684749621733598768e-07
2.228127345334363838e+02 2.273681334140746578e-08
2.805046135754906231e+02 -3.195633461878220373e-08
3.531343861556885599e+02 -8.957657662641231640e-08
4.445698525097302536e+02 1.715331110934077333e-07
5.596802846420847573e+02 5.351906381499287507e-08
7.045957328161139230e+02 1.660333639678687436e-07
8.870334730839383610e+02 -2.316419318237304274e-08
