# xi_im, xi_npair, xi_weight, Rg
5.277104134242271722e-05 3.542556700000000000e+07 2.882429424090521336e+08 6.915813945088769010e-01
6.478077289412318654e-05 5.570562100000000000e+07 4.531325793801981807e+08 6.915813945088769010e-01
-1.519246550968149132e-05 8.768768000000000000e+07 7.132636552847945690e+08 6.915813945088769010e-01
9.375274210036917176e-06 1.380746600000000000e+08 1.122942054870256901e+09 6.915813945088769010e-01
-1.341614207703131759e-06 2.174892950000000000e+08 1.768507971915493965e+09 6.915813945088769010e-01
1.026363819483140491e-05 3.427894240000000000e+08 2.787020439076506138e+09 6.915813945088769010e-01
-4.770605727417114630e-07 5.406122650000000000e+08 4.395150567384984016e+09 6.915813945088769010e-01
1.212373733602950341e-05 8.527860630000000000e+08 6.932424450739444733e+09 6.915813945088769010e-01
5.402608652501468276e-06 1.345627023000000000e+09 1.093785956086538887e+10 6.915813945088769010e-01
-2.082961897709535826e-05 2.124055306000000000e+09 1.726444062550704193e+10 6.915813945088769010e-01
-1.057367336155931482e-05 3.353616556000000000e+09 2.725706408464721298e+10 6.915813945088769010e-01
-1.032025181103202028e-05 5.293049891000000000e+09 4.301990622658736420e+10 6.915813945088769010e-01
8.018974199423093709e-06 8.348489304000000000e+09 6.785219355207231140e+10 6.915813945088769010e-01
8.217533117348882762e-07 1.315416433500000000e+10 1.069111986844003601e+11 6.915813945088769010e-01
1.166628999874697712e-06 2.069940409000000000e+10 1.682361777669984436e+11 6.915813945088769010e-01
5.338504368636887006e-06 3.250654590800000000e+10 2.642010554804111938e+11 6.915813945088769010e-01
1.647493763799410038e-06 5.095065021500000000e+10 4.141044864351849976e+11 6.915813945088769010e-01
1.041724503426893769e-06 7.966497077000000000e+10 6.474887206907980957e+11 6.915813945088769010e-01
-2.753077873220090123e-06 1.241266982370000000e+11 1.008856190227129028e+12 6.915813945088769010e-01
-9.985358315024093663e-06 1.927446722260000000e+11 1.566564091521029297e+12 6.915813945088769010e-01
-9.653825185882975089e-06 2.983159215810000000e+11 2.424672173663323730e+12 6.915813945088769010e-01
-8.582970467674634155e-06 4.596466642310000000e+11 3.736052511685051758e+12 6.915813945088769010e-01
-5.980966061796353714e-06 7.033741531490000000e+11 5.717180029169765625e+12 6.915813945088769010e-01
-1.026275320436897803e-05 1.066125559538000000e+12 8.665232086263297852e+12 6.915813945088769010e-01
-9.375648683142582071e-06 1.595630262720000000e+12 1.296740090121724609e+13 6.915813945088769010e-01
-2.363889635287738918e-06 2.358623133507000000e+12 1.916317869770335547e+13 6.915813945088769010e-01
