# theta, gamma_x
2.805046135754908576e+00 2.963283726665492094e-07
3.531343861556885511e+00 1.109943322909197600e-07
4.445698525097306231e+00 3.384735060732817290e-08
5.596802846420849242e+00 -2.406297935754552601e-08
7.045957328161134292e+00 -2.086412615761376121e-08
8.870334730839386950e+00 -4.762868435715988711e-08
1.116708980377407912e+01 -1.748142688453360083e-07
1.405853312975872704e+01 -3.580395801789737674e-08
1.769864460960344488e+01 1.049529239587621372e-07
2.228127345334363341e+01 1.703773581272953068e-08
2.805046135754907866e+01 5.540953847665567733e-08
3.531343861556884889e+01 5.101801687776751701e-08
4.445698525097307652e+01 4.528134768253645069e-08
5.596802846420851552e+01 8.324234800613253537e-08
7.045957328161131272e+01 5.846767647888979056e-08
8.870334730839388726e+01 -1.004778113458639150e-08
1.116708980377407130e+02 9.970026829678631124e-09
1.405853312975872882e+02 -3.662208449395787984e-08
1.769864460960343422e+02 -4.976448113141579122e-08
2.228127345334363838e+02 -1.152864920135225523e-07
2.805046135754906231e+02 -1.639915341274567606e-07
3.531343861556885599e+02 -2.609348232239687661e-07
4.445698525097302536e+02 -4.319886534829580461e-07
5.596802846420847573e+02 -5.150155696176152207e-07
7.045957328161139230e+02 -3.662091725533894504e-07
8.870334730839383610e+02 -3.386300841086750509e-08
