# theta, gammat_shot_noise
2.805046135754908576e+00 2.305231948072231296e-09
3.531343861556885511e+00 1.777302292180286298e-09
4.445698525097306231e+00 9.093853820826975721e-10
5.596802846420849242e+00 5.159594489056653564e-10
7.045957328161134292e+00 4.289821895848104811e-10
8.870334730839386950e+00 3.136869174085482029e-10
1.116708980377407912e+01 2.116805029264293405e-10
1.405853312975872704e+01 1.666678984776724984e-10
1.769864460960344488e+01 1.402035646770805288e-10
2.228127345334363341e+01 9.504975692804037194e-11
2.805046135754907866e+01 9.668719620471569978e-11
3.531343861556884889e+01 8.651523572176281330e-11
4.445698525097307652e+01 1.106619298794292346e-10
5.596802846420851552e+01 1.103031770494567039e-10
7.045957328161131272e+01 1.369219314902078206e-10
8.870334730839388726e+01 1.794800917371951406e-10
1.116708980377407130e+02 2.617273786433156903e-10
1.405853312975872882e+02 4.007550626522974414e-10
1.769864460960343422e+02 5.911859776015794568e-10
2.228127345334363838e+02 8.739239060549641722e-10
2.805046135754906231e+02 1.168849300520791399e-09
3.531343861556885599e+02 1.204812844855941178e-09
4.445698525097302536e+02 1.057969944164309023e-09
5.596802846420847573e+02 7.718521273136376484e-10
7.045957328161139230e+02 6.397688684096423772e-10
8.870334730839383610e+02 6.879324807386535783e-10
