# theta, gammat_shot_noise
2.805046135754908576e+00 2.468819637231507770e-09
3.531343861556885511e+00 1.635940590903437132e-09
4.445698525097306231e+00 9.671366929868972569e-10
5.596802846420849242e+00 6.149911478493169839e-10
7.045957328161134292e+00 3.974972174290446896e-10
8.870334730839386950e+00 3.057126657804441362e-10
1.116708980377407912e+01 2.245350990225469811e-10
1.405853312975872704e+01 1.467659864843602836e-10
1.769864460960344488e+01 8.689843495602822872e-11
2.228127345334363341e+01 7.774553356383643575e-11
2.805046135754907866e+01 6.145848546893220288e-11
3.531343861556884889e+01 6.081080778820846504e-11
4.445698525097307652e+01 6.969463251023470824e-11
5.596802846420851552e+01 7.504698069621380751e-11
7.045957328161131272e+01 8.549536473639076901e-11
8.870334730839388726e+01 1.249989568583903435e-10
1.116708980377407130e+02 1.899714550544721802e-10
1.405853312975872882e+02 2.937920213186845895e-10
1.769864460960343422e+02 4.283375795197389522e-10
2.228127345334363838e+02 5.925537329997426319e-10
2.805046135754906231e+02 6.774979897251234649e-10
3.531343861556885599e+02 6.601276629746419779e-10
4.445698525097302536e+02 5.400749251995386033e-10
5.596802846420847573e+02 4.433255114551111628e-10
7.045957328161139230e+02 4.309443384376699187e-10
8.870334730839383610e+02 3.914859497867803014e-10
