# theta, boost
2.805046135754908576e+00 1.002313356579258130e+00
3.531343861556885511e+00 1.001900373914957676e+00
4.445698525097306231e+00 1.001537442641421194e+00
5.596802846420849242e+00 1.001406876112651334e+00
7.045957328161134292e+00 1.001664396677455215e+00
8.870334730839386950e+00 1.001369407317625360e+00
1.116708980377407912e+01 1.001206406861895104e+00
1.405853312975872704e+01 1.001136150847509398e+00
1.769864460960344488e+01 1.000864739203475517e+00
2.228127345334363341e+01 1.000631801116094399e+00
2.805046135754907866e+01 1.000563001643414385e+00
3.531343861556884889e+01 1.000438926517941862e+00
4.445698525097307652e+01 1.000139468285644151e+00
5.596802846420851552e+01 9.999465517025176720e-01
7.045957328161131272e+01 1.000072071072093172e+00
8.870334730839388726e+01 1.000133706420251789e+00
1.116708980377407130e+02 1.000166000699791891e+00
1.405853312975872882e+02 1.000248396722205557e+00
1.769864460960343422e+02 1.000331457316276929e+00
2.228127345334363838e+02 1.000512693162038280e+00
2.805046135754906231e+02 1.000571319820847016e+00
3.531343861556885599e+02 1.000320317537984227e+00
4.445698525097302536e+02 9.999358276664725986e-01
5.596802846420847573e+02 9.995202494542462235e-01
7.045957328161139230e+02 9.992500286627544748e-01
8.870334730839383610e+02 9.991925167539785768e-01
