# theta, gamma_x
2.805046135754908576e+00 7.057191062984040778e-08
3.531343861556885511e+00 2.841639718531400317e-07
4.445698525097306231e+00 -7.891079406158844538e-08
5.596802846420849242e+00 -2.696647004901770103e-07
7.045957328161134292e+00 -2.880711753233357549e-07
8.870334730839386950e+00 -2.109767375787247753e-07
1.116708980377407912e+01 1.112733626108661883e-08
1.405853312975872704e+01 -1.667409613513109265e-07
1.769864460960344488e+01 8.149245202601571492e-08
2.228127345334363341e+01 2.884924231728331679e-07
2.805046135754907866e+01 2.801765658395026044e-07
3.531343861556884889e+01 2.908662636349842375e-07
4.445698525097307652e+01 2.935632975604587106e-07
5.596802846420851552e+01 2.366784213842487826e-07
7.045957328161131272e+01 2.845049587965257742e-07
8.870334730839388726e+01 3.508750966708510218e-07
1.116708980377407130e+02 4.905226687723881335e-07
1.405853312975872882e+02 6.197305965108527663e-07
1.769864460960343422e+02 9.466109175047315496e-07
2.228127345334363838e+02 9.724000187102386726e-07
2.805046135754906231e+02 1.049744781568051006e-06
3.531343861556885599e+02 9.248902432416672880e-07
4.445698525097302536e+02 8.254145494884081061e-07
5.596802846420847573e+02 6.472431906872788229e-07
7.045957328161139230e+02 -4.670806138239983340e-08
8.870334730839383610e+02 -1.239966904414824854e-06
