# theta, gamma_t
2.805046135754908576e+00 -1.222331607530493923e-08
3.531343861556885511e+00 -6.716623990961515150e-07
4.445698525097306231e+00 3.775734252298751817e-08
5.596802846420849242e+00 2.723018830768923518e-07
7.045957328161134292e+00 -3.913814805532303282e-07
8.870334730839386950e+00 -1.355579612152873924e-07
1.116708980377407912e+01 -2.287190772994708936e-07
1.405853312975872704e+01 4.307161236279125646e-07
1.769864460960344488e+01 6.990408662220783369e-08
2.228127345334363341e+01 7.523218039572046484e-08
2.805046135754907866e+01 3.353143783752930504e-08
3.531343861556884889e+01 -1.724438994371385995e-07
4.445698525097307652e+01 -3.205871992105058899e-07
5.596802846420851552e+01 -1.488282629580093364e-07
7.045957328161131272e+01 3.219912354833805999e-08
8.870334730839388726e+01 2.460127824739724767e-07
1.116708980377407130e+02 2.026741278172055453e-07
1.405853312975872882e+02 -2.114829358726610319e-08
1.769864460960343422e+02 -3.879961926898354218e-08
2.228127345334363838e+02 3.863616532946219225e-08
2.805046135754906231e+02 1.776618396206796623e-08
3.531343861556885599e+02 6.131207973465008032e-08
4.445698525097302536e+02 4.420534932273724781e-08
5.596802846420847573e+02 -3.898199555205465609e-08
7.045957328161139230e+02 -1.430101401500337678e-08
8.870334730839383610e+02 -2.204767898534030835e-08
