# theta, gamma_t
2.805046135754908576e+00 -1.348936418517370270e-05
3.531343861556885511e+00 -1.074611942782357921e-05
4.445698525097306231e+00 -1.099976118289220026e-05
5.596802846420849242e+00 -3.852749619748587470e-06
7.045957328161134292e+00 -4.314470927906118619e-06
8.870334730839386950e+00 -8.179766641225121480e-06
1.116708980377407912e+01 -5.314398559606732091e-06
1.405853312975872704e+01 -7.059635022138590173e-06
1.769864460960344488e+01 -5.875255401016019718e-06
2.228127345334363341e+01 -2.238131609401158620e-06
2.805046135754907866e+01 -4.435230727925252716e-06
3.531343861556884889e+01 -3.965112471741919101e-06
4.445698525097307652e+01 -1.299278453383017365e-06
5.596802846420851552e+01 -9.962543785604679269e-07
7.045957328161131272e+01 -2.455363614142850590e-06
8.870334730839388726e+01 -1.016603203523591732e-06
1.116708980377407130e+02 -4.335222405978817165e-06
1.405853312975872882e+02 -7.196537786163105619e-06
1.769864460960343422e+02 -1.056019226836074840e-05
2.228127345334363838e+02 -1.188455092313193010e-05
2.805046135754906231e+02 -9.545161291245632759e-06
3.531343861556885599e+02 -4.440837709609825818e-06
4.445698525097302536e+02 3.404835411857336485e-06
5.596802846420847573e+02 8.860249194662121248e-06
7.045957328161139230e+02 -1.565956808330173803e-06
8.870334730839383610e+02 -9.692926710764808592e-06
