# theta, gammat_shot_noise
2.805046135754908576e+00 2.305231948072241222e-09
3.531343861556885511e+00 1.777302292180286919e-09
4.445698525097306231e+00 9.093853820826873358e-10
5.596802846420849242e+00 5.159594489056674244e-10
7.045957328161134292e+00 4.289821895848167884e-10
8.870334730839386950e+00 3.136869174085555959e-10
1.116708980377407912e+01 2.116805029264276603e-10
1.405853312975872704e+01 1.666678984776715678e-10
1.769864460960344488e+01 1.402035646770813042e-10
2.228127345334363341e+01 9.504975692803941552e-11
2.805046135754907866e+01 9.668719620471504062e-11
3.531343861556884889e+01 8.651523572176335614e-11
4.445698525097307652e+01 1.106619298794299713e-10
5.596802846420851552e+01 1.103031770494574277e-10
7.045957328161131272e+01 1.369219314902047704e-10
8.870334730839388726e+01 1.794800917371955283e-10
1.116708980377407130e+02 2.617273786433150182e-10
1.405853312975872882e+02 4.007550626523011637e-10
1.769864460960343422e+02 5.911859776015772854e-10
2.228127345334363838e+02 8.739239060549629314e-10
2.805046135754906231e+02 1.168849300520790572e-09
3.531343861556885599e+02 1.204812844855936008e-09
4.445698525097302536e+02 1.057969944164304887e-09
5.596802846420847573e+02 7.718521273136388892e-10
7.045957328161139230e+02 6.397688684096463064e-10
8.870334730839383610e+02 6.879324807386521307e-10
