# xi_im, xi_npair, xi_weight, Rg, sum_w_l, sum_w_r,
-4.535616160432118516e-06 2.041370435000000000e+09 2.732216802831707382e+10 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
-2.923110991764657480e-06 3.216748976000000000e+09 4.305606656235921478e+10 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
-5.873113897109275351e-06 5.071754548000000000e+09 6.788716716361058044e+10 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
-1.029412380258350235e-05 7.996935491000000000e+09 1.070427894091670532e+11 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
-5.792078056200550307e-06 1.261128529300000000e+10 1.688111632301185303e+11 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
3.740344194124782367e-06 1.989863798300000000e+10 2.663599954868085327e+11 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
3.816935677151895421e-06 3.141148005000000000e+10 4.204713958956168823e+11 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
-3.833723248977934984e-07 4.959107500500000000e+10 6.638341136415207520e+11 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
3.202780032505217090e-06 7.831178009400000000e+10 1.048316141991314087e+12 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
3.547156520312406433e-06 1.237005702270000000e+11 1.655940181105616699e+12 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
-2.896640974390411583e-07 1.953663414300000000e+11 2.615338061824358887e+12 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
2.408622567777048463e-06 3.084188652680000000e+11 4.128772149779131348e+12 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
4.029239695764213453e-06 4.864746790220000000e+11 6.512337605894644531e+12 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
2.391001024769153739e-06 7.664488280070000000e+11 1.026035903158293750e+13 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
2.395454514507031529e-06 1.205906383013000000e+12 1.614343826131998633e+13 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
2.076516409054720934e-06 1.893825411549000000e+12 2.535251999610540234e+13 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
-4.862251229518279367e-07 2.968019190358000000e+12 3.973238436152762500e+13 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
-3.783945336387671754e-06 4.638474568944000000e+12 6.209400100476440625e+13 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
-6.439127227474075534e-06 7.224323562275000000e+12 9.671030120905670312e+13 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
-5.674427453923070879e-06 1.121004825735300000e+13 1.500669375296289688e+14 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
-5.733194613871830108e-06 1.733314810168400000e+13 2.320342252338528750e+14 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
-6.330222303059266986e-06 2.667325220975800000e+13 3.570581357593169375e+14 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
-7.518648048302361238e-06 4.076004696949900000e+13 5.455909922566533125e+14 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
-9.571781567448369411e-06 6.169884163184600000e+13 8.257613937295613750e+14 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
-1.210671336493938267e-05 9.220493269757300000e+13 1.233919368870979000e+15 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
-1.336368760729717483e-05 1.360556004215520000e+14 1.820444713134724500e+15 8.571271926354424586e-01 1.783834000000000000e+06 8.919170000000000000e+07
