# xi_im, xi_npair, xi_weight, Rg, sum_w_l, sum_w_r,
2.151480795140212664e-07 2.323295624000000000e+09 1.890403494969775009e+10 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
3.976386409507885075e-06 3.659758034000000000e+09 2.977949856906045532e+10 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
1.393217662456880645e-06 5.770320483000000000e+09 4.695394011131342316e+10 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
3.106434023783408795e-06 9.098368441000000000e+09 7.403495369767552185e+10 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
4.751683652020059602e-07 1.434882086700000000e+10 1.167591626448697815e+11 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
-2.820749406911624310e-07 2.264168588200000000e+10 1.842406346752966614e+11 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
1.485931782548908820e-06 3.574257402500000000e+10 2.908512428705567627e+11 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
8.093356507415205572e-09 5.643078510600000000e+10 4.592040367363959351e+11 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
-2.877779058481246695e-06 8.912053812500000000e+10 7.252273249737963867e+11 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
-5.273281817885291290e-06 1.407985405670000000e+11 1.145786685870057129e+12 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
-7.149495149213959452e-07 2.224233710070000000e+11 1.810064786988431641e+12 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
8.405744568657257268e-07 3.512579391690000000e+11 2.858581890100025879e+12 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
2.383969952405222908e-06 5.542552841570000000e+11 4.510690220118331055e+12 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
1.464352143487540145e-06 8.735499072680000000e+11 7.109348568337325195e+12 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
2.414982870962682668e-06 1.374926678296000000e+12 1.119006853362188867e+13 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
3.705357299396640889e-06 2.160177314117000000e+12 1.758120845533573828e+13 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
5.314234510105225331e-07 3.387197496196000000e+12 2.756811739172898828e+13 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
1.832779446921780885e-06 5.296371811947000000e+12 4.310737798433267969e+13 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
-2.583029206017430609e-06 8.253027400180000000e+12 6.717184779661245312e+13 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
-7.445923172604501082e-06 1.281658609874900000e+13 1.043185695990490156e+14 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
-9.838084343670505715e-06 1.983913261002900000e+13 1.614829825548485312e+14 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
-7.707342842790755304e-06 3.056714510949100000e+13 2.488139518338198438e+14 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
-7.093622407517909625e-06 4.678052687015000000e+13 3.808031900783090625e+14 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
-9.066314862047756393e-06 7.092364884426200000e+13 5.773288226826023750e+14 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
-8.387391706985777506e-06 1.061369959144030000e+14 8.639848697895056250e+14 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
-2.100363065875707974e-06 1.567937598338630000e+14 1.276359072460948750e+15 6.915813945088769010e-01 1.852538000000000000e+06 9.262690000000000000e+07
