# xi_im, xi_npair, xi_weight, Rg
2.454206595005344183e-08 2.120122841000000000e+09 2.837649213537379456e+10 8.571271926354424586e-01
-9.071852546399323451e-06 3.340508936000000000e+09 4.471258222787921906e+10 8.571271926354424586e-01
-6.480265415475060158e-06 5.267092472000000000e+09 7.050200864498722839e+10 8.571271926354424586e-01
-1.048010690532836820e-05 8.304930651000000000e+09 1.111667409367207336e+11 8.571271926354424586e-01
-4.961393255451177434e-06 1.309714358700000000e+10 1.753145691932899170e+11 8.571271926354424586e-01
1.653007626382459537e-06 2.066537738600000000e+10 2.766246332758072510e+11 8.571271926354424586e-01
1.703412968228898476e-06 3.262237783000000000e+10 4.366854879092411499e+11 8.571271926354424586e-01
-3.316324020655425423e-06 5.150200530100000000e+10 6.894183363292684326e+11 8.571271926354424586e-01
3.906138457454685404e-06 8.132690269500000000e+10 1.088678467657733887e+12 8.571271926354424586e-01
3.008489572778058152e-06 1.284636288820000000e+11 1.719703735527951660e+12 8.571271926354424586e-01
-6.259075051750609842e-07 2.028854356870000000e+11 2.716000974673081055e+12 8.571271926354424586e-01
2.995726551752628407e-06 3.202877927210000000e+11 4.287666677848816895e+12 8.571271926354424586e-01
3.361675468460935307e-06 5.051968178960000000e+11 6.762992158731125977e+12 8.571271926354424586e-01
2.400828807553632962e-06 7.959393895110000000e+11 1.065516521313721484e+13 8.571271926354424586e-01
2.032541418612000068e-06 1.252304442033000000e+12 1.676458472413585156e+13 8.571271926354424586e-01
2.325753460905292279e-06 1.966689007958000000e+12 2.632793779455039453e+13 8.571271926354424586e-01
-4.958955636272522144e-10 3.082198701394000000e+12 4.126086150166320312e+13 8.571271926354424586e-01
-3.252867871616550878e-06 4.816890749547000000e+12 6.448244808901032812e+13 8.571271926354424586e-01
-5.542361695702004112e-06 7.502205054097000000e+12 1.004303031001684062e+14 8.571271926354424586e-01
-4.615308559350672395e-06 1.164136767318100000e+13 1.558411653121575000e+14 8.571271926354424586e-01
-4.403209875206255034e-06 1.800000588792800000e+13 2.409615536672375000e+14 8.571271926354424586e-01
-4.856024605109982958e-06 2.769924256060900000e+13 3.707926946174299375e+14 8.571271926354424586e-01
-5.641116110171997950e-06 4.232741439981500000e+13 5.665712611863315000e+14 8.571271926354424586e-01
-7.361983468484196800e-06 6.407186347502200000e+13 8.575218027536796250e+14 8.571271926354424586e-01
-9.586966241272019238e-06 9.575165224058500000e+13 1.281383964343552500e+15 8.571271926354424586e-01
-1.055843786348782090e-05 1.412900120424830000e+14 1.890482179700080500e+15 8.571271926354424586e-01
