# theta, gamma_x
2.805046135754908576e+00 -3.089782075629250540e-05
3.531343861556885511e+00 -3.931082217142673249e-05
4.445698525097306231e+00 1.004608406984574711e-05
5.596802846420849242e+00 1.987210593503872455e-05
7.045957328161134292e+00 -2.003900203552196773e-05
8.870334730839386950e+00 1.930458763853955072e-05
1.116708980377407912e+01 -1.697771482133330701e-05
1.405853312975872704e+01 -1.035332822837413779e-05
1.769864460960344488e+01 -1.572305849309576169e-05
2.228127345334363341e+01 -7.607394689751452801e-06
2.805046135754907866e+01 -3.196061222080777647e-06
3.531343861556884889e+01 -7.615969013206942586e-06
4.445698525097307652e+01 8.143381307336686163e-06
5.596802846420851552e+01 4.034164932009118003e-06
7.045957328161131272e+01 -2.164463320976435567e-06
8.870334730839388726e+01 1.446049195193740628e-06
1.116708980377407130e+02 1.779730660457804077e-06
1.405853312975872882e+02 -1.076842271898765622e-06
1.769864460960343422e+02 -4.449095403133468513e-06
2.228127345334363838e+02 -5.469000650626530887e-06
2.805046135754906231e+02 -2.206379550264682864e-06
3.531343861556885599e+02 1.031735203189945989e-06
4.445698525097302536e+02 -1.140916241420105787e-06
5.596802846420847573e+02 -4.024132456835753153e-07
7.045957328161139230e+02 -4.810312034133774195e-07
8.870334730839383610e+02 -8.255018897278769549e-07
