# theta, gamma_t
2.805046135754908576e+00 -5.181882429928592235e-08
3.531343861556885511e+00 -1.156847706276899202e-07
4.445698525097306231e+00 3.658839582096380760e-08
5.596802846420849242e+00 -3.286059580682399432e-08
7.045957328161134292e+00 -5.215596209379881568e-08
8.870334730839386950e+00 -1.108281454177470656e-08
1.116708980377407912e+01 -6.016419696176295601e-08
1.405853312975872704e+01 -9.060002951796651357e-08
1.769864460960344488e+01 2.060482946743386632e-09
2.228127345334363341e+01 -2.217356308347646037e-08
2.805046135754907866e+01 4.434486575667361420e-08
3.531343861556884889e+01 2.158138251152751390e-08
4.445698525097307652e+01 5.707512997600930878e-08
5.596802846420851552e+01 4.143495472597195972e-08
7.045957328161131272e+01 1.747612361486760088e-07
8.870334730839388726e+01 4.623966399665516076e-08
1.116708980377407130e+02 -3.855018478252151859e-08
1.405853312975872882e+02 -9.380423175778487237e-08
1.769864460960343422e+02 -9.499240858698442796e-08
2.228127345334363838e+02 -1.671011016556527922e-07
2.805046135754906231e+02 -2.622823187888535176e-07
3.531343861556885599e+02 -3.144199069326296059e-07
4.445698525097302536e+02 -4.108930752260974255e-07
5.596802846420847573e+02 -4.664457658521521906e-07
7.045957328161139230e+02 -6.078513069252282822e-07
8.870334730839383610e+02 -7.769817766123078325e-07
