# xi_im, xi_npair, xi_weight, Rg, sum_w_l, sum_w_r,
2.151480795138293870e-07 2.323295624000000000e+09 1.890403494969775009e+10 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
3.976386409507933356e-06 3.659758034000000000e+09 2.977949856906045532e+10 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
1.393217662456899280e-06 5.770320483000000000e+09 4.695394011131342316e+10 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
3.106434023783499851e-06 9.098368441000000000e+09 7.403495369767552185e+10 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
4.751683652020331182e-07 1.434882086700000000e+10 1.167591626448697815e+11 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-2.820749406913144205e-07 2.264168588200000000e+10 1.842406346752966614e+11 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
1.485931782548960066e-06 3.574257402500000000e+10 2.908512428705567627e+11 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
8.093356507277832379e-09 5.643078510600000000e+10 4.592040367363959351e+11 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-2.877779058481024772e-06 8.912053812500000000e+10 7.252273249737963867e+11 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-5.273281817885459002e-06 1.407985405670000000e+11 1.145786685870057373e+12 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-7.149495149217702279e-07 2.224233710070000000e+11 1.810064786988431396e+12 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
8.405744568658595580e-07 3.512579391690000000e+11 2.858581890100025391e+12 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
2.383969952405277965e-06 5.542552841570000000e+11 4.510690220118332031e+12 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
1.464352143487590544e-06 8.735499072680000000e+11 7.109348568337324219e+12 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
2.414982870962546296e-06 1.374926678296000000e+12 1.119006853362189258e+13 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
3.705357299396767944e-06 2.160177314117000000e+12 1.758120845533573633e+13 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
5.314234510105297328e-07 3.387197496196000000e+12 2.756811739172899609e+13 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
1.832779446921860506e-06 5.296371811947000000e+12 4.310737798433267969e+13 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-2.583029206017456443e-06 8.253027400180000000e+12 6.717184779661246875e+13 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-7.445923172604483294e-06 1.281658609874900000e+13 1.043185695990490156e+14 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-9.838084343670514185e-06 1.983913261002900000e+13 1.614829825548484688e+14 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-7.707342842790775633e-06 3.056714510949100000e+13 2.488139518338197500e+14 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-7.093622407517903695e-06 4.678052687015000000e+13 3.808031900783090625e+14 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-9.066314862047751311e-06 7.092364884426200000e+13 5.773288226826023750e+14 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-8.387391706985787671e-06 1.061369959144030000e+14 8.639848697895057500e+14 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-2.100363065875717715e-06 1.567937598338630000e+14 1.276359072460948750e+15 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
