# theta, gammat_shot_noise
2.805046135754908576e+00 4.162561512906186768e-11
3.531343861556885511e+00 3.010351609303070155e-11
4.445698525097306231e+00 2.248889034224722922e-11
5.596802846420849242e+00 1.706183606391263069e-11
7.045957328161134292e+00 1.600243265642026251e-11
8.870334730839386950e+00 1.488346005680525378e-11
1.116708980377407912e+01 1.380663073709011033e-11
1.405853312975872704e+01 1.436309512945225287e-11
1.769864460960344488e+01 1.895145970597939051e-11
2.228127345334363341e+01 2.119554551724121865e-11
2.805046135754907866e+01 2.651897833491233469e-11
3.531343861556884889e+01 3.478002987175351028e-11
4.445698525097307652e+01 5.677800134777474337e-11
5.596802846420851552e+01 8.548166530628979103e-11
7.045957328161131272e+01 1.297328300051657101e-10
8.870334730839388726e+01 1.889274677679652135e-10
1.116708980377407130e+02 2.937092102999624789e-10
1.405853312975872882e+02 4.615215655118125933e-10
1.769864460960343422e+02 6.598055471747985813e-10
2.228127345334363838e+02 9.934273829613192730e-10
2.805046135754906231e+02 1.302847209317823615e-09
3.531343861556885599e+02 1.335114257705783249e-09
4.445698525097302536e+02 1.144893252202888642e-09
5.596802846420847573e+02 8.626423367307033687e-10
7.045957328161139230e+02 7.678406560171322276e-10
8.870334730839383610e+02 7.008542070762036203e-10
