# theta, gammat_shot_noise
2.805046135754908576e+00 7.111042330186032165e-13
3.531343861556885511e+00 7.056176978988298378e-13
4.445698525097306231e+00 7.911981190505055942e-13
5.596802846420849242e+00 1.681880345514753431e-13
7.045957328161134292e+00 1.707737143558608732e-13
8.870334730839386950e+00 1.058730579494738498e-13
1.116708980377407912e+01 5.582055075482927954e-14
1.405853312975872704e+01 8.794565234390459990e-14
1.769864460960344488e+01 3.825858535377094127e-14
2.228127345334363341e+01 5.914372247730921408e-14
2.805046135754907866e+01 5.007501956678350348e-14
3.531343861556884889e+01 6.556964913881636961e-14
4.445698525097307652e+01 2.918066154914312436e-14
5.596802846420851552e+01 2.661990521402646988e-14
7.045957328161131272e+01 3.580174118143720520e-14
8.870334730839388726e+01 4.977219928410966298e-14
1.116708980377407130e+02 7.050129595876049396e-14
1.405853312975872882e+02 1.063161199623758657e-13
1.769864460960343422e+02 1.763971571569525849e-13
2.228127345334363838e+02 2.551622879003036197e-13
2.805046135754906231e+02 3.177462949634214675e-13
3.531343861556885599e+02 3.152227382496271884e-13
4.445698525097302536e+02 2.868421084380392557e-13
5.596802846420847573e+02 2.893539869849691017e-13
7.045957328161139230e+02 2.952007752983883286e-13
8.870334730839383610e+02 3.965133283079888168e-13
