# theta, gammat_shot_noise
2.805046135754908576e+00 8.107474148281767304e-12
3.531343861556885511e+00 5.210438246745529733e-12
4.445698525097306231e+00 3.103397481248875394e-12
5.596802846420849242e+00 2.766736242170928806e-12
7.045957328161134292e+00 1.579318433675146419e-12
8.870334730839386950e+00 1.222036142303076029e-12
1.116708980377407912e+01 7.799601950923537381e-13
1.405853312975872704e+01 4.493844629690771424e-13
1.769864460960344488e+01 4.035652492383237721e-13
2.228127345334363341e+01 2.957186794391366192e-13
2.805046135754907866e+01 2.541704463108806663e-13
3.531343861556884889e+01 2.522406945895719035e-13
4.445698525097307652e+01 2.367738329225823723e-13
5.596802846420851552e+01 2.378894037363944322e-13
7.045957328161131272e+01 3.356514235186242364e-13
8.870334730839388726e+01 4.632056446936429494e-13
1.116708980377407130e+02 7.434204920110128659e-13
1.405853312975872882e+02 1.101897511602916121e-12
1.769864460960343422e+02 1.742470940381772129e-12
2.228127345334363838e+02 2.628372030028464462e-12
2.805046135754906231e+02 3.256316412024987445e-12
3.531343861556885599e+02 3.574343071237844091e-12
4.445698525097302536e+02 3.678225615347373026e-12
5.596802846420847573e+02 4.142905429431273537e-12
7.045957328161139230e+02 5.827250217090783289e-12
8.870334730839383610e+02 8.996779059765033352e-12
